"altura","peso","imc","sexo","escolaridade","profissao","fumante","fumante.n","salario","carro","filho"
"3083",1.48,54.28,24.78,"F","Mestrado","Humanas","não",0,3647.17,1,2
"3084",1.29,46.7,28.06,"M","Doutorado","Biológicas","não",0,3100.23,0,2
"3085",1.57,57.82,23.46,"F","Analfabeto","Humanas","sim",1,2408.57,3,2
"3086",1.42,51.83,25.7,"F","Doutorado","Humanas","sim",1,3284.02,3,2
"3087",1.67,61.86,22.18,"F","1º Grau","Biológicas","sim",1,2944.33,3,2
"3088",1.68,62.38,22.1,"F","Analfabeto","Humanas","não",0,3213.82,1,1
"3089",1.64,60.59,22.53,"M","Analfabeto","Biológicas","não",0,2659.15,1,0
"3090",1.53,56.13,23.98,"F","PósDoc","Exatas","sim",1,2700.93,1,2
"3091",1.43,52.23,25.54,"F","2º Grau","Exatas","não",0,2750.5,3,2
"3092",1.5,55.1,24.49,"M","Mestrado","Exatas","sim",1,3260.06,0,1
"3093",1.44,52.76,25.44,"M","3º Grau","Biológicas","não",0,3055.37,0,1
"3094",1.43,52.16,25.51,"F","1º Grau","Humanas","sim",1,4167.55,1,0
"3095",1.37,49.78,26.52,"M","Doutorado","Exatas","não",0,2837.58,2,0
"3096",1.52,55.76,24.13,"F","2º Grau","Humanas","não",0,2517.02,0,0
"3097",1.6,58.81,22.97,"M","2º Grau","Exatas","não",0,3396.94,2,0
"3098",1.53,56.06,23.95,"M","3º Grau","Humanas","não",0,3703.96,2,1
"3099",1.43,52.23,25.54,"M","3º Grau","Exatas","não",0,3934.93,2,1
"3100",1.54,56.51,23.83,"M","2º Grau","Humanas","não",0,2748.11,1,1
"3101",1.57,57.91,23.49,"M","1º Grau","Exatas","não",0,2817.71,2,0
"3102",1.53,56.04,23.94,"F","Doutorado","Biológicas","sim",1,3456.4,0,0
"3103",1.58,58.22,23.32,"F","PósDoc","Biológicas","sim",1,3129.11,3,0
"3104",1.35,48.9,26.83,"F","1º Grau","Humanas","não",0,2100.82,3,0
"3105",1.49,54.76,24.67,"M","3º Grau","Humanas","sim",1,2766.85,2,0
"3106",1.44,52.45,25.29,"M","2º Grau","Biológicas","sim",1,2943.19,2,1
"3107",1.56,57.21,23.51,"M","PósDoc","Humanas","não",0,2544.04,3,1
"3108",1.64,60.61,22.53,"M","Doutorado","Exatas","não",0,3194.24,3,2
"3109",1.55,57.05,23.75,"M","PósDoc","Humanas","sim",1,2891.74,1,0
"3110",1.57,57.64,23.38,"F","Mestrado","Biológicas","não",0,3366.8,1,2
"3111",1.45,52.92,25.17,"M","3º Grau","Biológicas","sim",1,2542.42,1,0
"3112",1.57,57.89,23.49,"F","Mestrado","Biológicas","sim",1,3658.17,3,2
"3113",1.47,53.89,24.94,"F","2º Grau","Biológicas","não",0,4076.64,3,0
"3114",1.45,52.9,25.16,"M","Doutorado","Exatas","não",0,3246.74,1,1
"3115",1.51,55.25,24.23,"M","Analfabeto","Humanas","sim",1,4024.01,3,1
"3116",1.45,53.2,25.3,"M","PósDoc","Exatas","não",0,2976.78,1,0
"3117",1.71,63.46,21.7,"F","Analfabeto","Exatas","sim",1,2756.7,0,0
"3118",1.54,56.73,23.92,"M","2º Grau","Humanas","não",0,2797.22,0,1
"3119",1.43,52.11,25.48,"F","Doutorado","Biológicas","não",0,2869.09,2,1
"3120",1.47,53.63,24.82,"M","2º Grau","Humanas","sim",1,2693.81,2,2
"3121",1.65,60.98,22.4,"F","PósDoc","Biológicas","não",0,2662.25,3,0
"3122",1.4,50.96,26,"F","Analfabeto","Humanas","não",0,2907.56,2,1
"3123",1.38,50.19,26.35,"F","Mestrado","Humanas","não",0,2763.7,2,1
"3124",1.54,56.58,23.86,"F","Analfabeto","Biológicas","sim",1,3445.68,0,1
"3125",1.61,59.24,22.85,"F","Analfabeto","Exatas","não",0,2390.44,0,2
"3126",1.3,47.08,27.86,"M","1º Grau","Humanas","não",0,3431.68,1,1
"3127",1.52,55.76,24.13,"F","Mestrado","Exatas","não",0,2934.12,3,1
"3128",1.72,63.87,21.59,"F","2º Grau","Biológicas","sim",1,2835.37,3,0
"3129",1.53,56.39,24.09,"M","3º Grau","Exatas","não",0,3251.36,1,1
"3130",1.59,58.53,23.15,"M","3º Grau","Biológicas","sim",1,2956.92,0,2
"3131",1.5,55.15,24.51,"F","1º Grau","Exatas","não",0,3867.39,0,2
"3132",1.43,52.4,25.62,"M","3º Grau","Humanas","não",0,3206.69,3,2
"3133",1.39,50.6,26.19,"M","3º Grau","Biológicas","sim",1,2913.64,2,0
"3134",1.43,52.34,25.6,"F","3º Grau","Humanas","não",0,3210.05,1,1
"3135",1.36,49.54,26.78,"F","2º Grau","Humanas","não",0,3889.76,0,0
"3136",1.5,54.92,24.41,"F","Analfabeto","Biológicas","sim",1,2596.75,3,0
"3137",1.41,51.36,25.83,"M","Doutorado","Humanas","sim",1,2899.48,1,2
"3138",1.53,56.32,24.06,"M","3º Grau","Exatas","sim",1,2732.71,1,0
"3139",1.44,52.52,25.33,"M","3º Grau","Exatas","não",0,3128.06,3,0
"3140",1.44,52.52,25.33,"F","2º Grau","Biológicas","não",0,2996.91,1,0
"3141",1.58,58.24,23.33,"M","1º Grau","Biológicas","não",0,3322.03,3,0
"3142",1.57,57.76,23.43,"F","Analfabeto","Humanas","não",0,3504.95,0,0
"3143",1.73,64.07,21.41,"F","Doutorado","Exatas","sim",1,2499.62,1,2
"3144",1.51,55.23,24.22,"M","Mestrado","Exatas","não",0,2496.64,3,2
"3145",1.32,47.8,27.43,"M","Doutorado","Humanas","não",0,3749.66,1,0
"3146",1.4,51.11,26.08,"M","2º Grau","Biológicas","sim",1,2362.53,3,0
"3147",1.56,57.56,23.65,"M","Mestrado","Biológicas","não",0,3116.77,3,0
"3148",1.49,54.48,24.54,"M","Mestrado","Humanas","não",0,3174.8,1,1
"3149",1.6,58.81,22.97,"F","2º Grau","Humanas","não",0,3455.72,0,0
"3150",1.6,58.93,23.02,"F","Doutorado","Humanas","não",0,2571.66,2,0
"3151",1.72,63.68,21.53,"M","2º Grau","Humanas","sim",1,2018.09,2,1
"3152",1.53,56.14,23.98,"F","Doutorado","Humanas","sim",1,3485.75,2,1
"3153",1.49,54.69,24.63,"F","Doutorado","Exatas","sim",1,2851.27,3,0
"3154",1.45,52.97,25.19,"F","PósDoc","Exatas","sim",1,2926.94,3,1
"3155",1.51,55.43,24.31,"F","Mestrado","Biológicas","não",0,2636.44,1,1
"3156",1.54,56.69,23.9,"M","PósDoc","Humanas","sim",1,3252.25,0,0
"3157",1.65,61.17,22.47,"M","1º Grau","Biológicas","não",0,2294.12,1,1
"3158",1.56,57.3,23.55,"F","Analfabeto","Exatas","não",0,3155.18,3,0
"3159",1.37,49.64,26.45,"M","Analfabeto","Humanas","não",0,3078.77,3,0
"3160",1.38,50.22,26.37,"F","3º Grau","Biológicas","não",0,2649.15,3,1
"3161",1.34,48.75,27.15,"M","2º Grau","Biológicas","sim",1,3460.88,0,0
"3162",1.61,59.25,22.86,"M","1º Grau","Biológicas","não",0,3198.56,1,0
"3163",1.36,49.37,26.69,"F","2º Grau","Humanas","não",0,3362.27,2,0
"3164",1.44,52.69,25.41,"F","Mestrado","Humanas","não",0,3114.57,0,0
"3165",1.38,50.17,26.34,"F","1º Grau","Biológicas","não",0,2548.01,3,0
"3166",1.62,59.82,22.79,"M","1º Grau","Exatas","sim",1,2903.77,2,2
"3167",1.65,61.14,22.46,"M","PósDoc","Humanas","não",0,3006.4,3,2
"3168",1.58,58.07,23.26,"F","Doutorado","Exatas","não",0,2947.61,0,0
"3169",1.41,51.24,25.77,"M","PósDoc","Humanas","não",0,3530.77,1,1
"3170",1.47,53.8,24.9,"M","PósDoc","Humanas","não",0,3404.72,3,2
"3171",1.52,55.99,24.23,"M","Doutorado","Exatas","sim",1,2777.2,1,0
"3172",1.52,55.77,24.14,"F","3º Grau","Biológicas","sim",1,2374.42,1,1
"3173",1.38,50.33,26.43,"F","Analfabeto","Humanas","sim",1,2874.44,2,1
"3174",1.48,54.07,24.68,"F","PósDoc","Humanas","não",0,2134.64,3,0
"3175",1.63,60.1,22.62,"F","3º Grau","Exatas","não",0,2715.18,1,1
"3176",1.39,50.79,26.29,"F","Doutorado","Exatas","não",0,2616.9,1,1
"3177",1.58,58.14,23.29,"M","Analfabeto","Exatas","não",0,3250.17,3,2
"3178",1.46,53.49,25.09,"M","Mestrado","Humanas","sim",1,3229.17,1,0
"3179",1.52,55.87,24.18,"M","Doutorado","Humanas","não",0,2977.52,0,2
"3180",1.56,57.39,23.58,"M","3º Grau","Exatas","não",0,3207.25,1,1
"3181",1.51,55.54,24.36,"F","Analfabeto","Biológicas","não",0,2923.55,2,0
"3182",1.65,61.18,22.47,"M","Mestrado","Biológicas","não",0,2942.49,0,0
"3183",1.35,49.19,26.99,"F","2º Grau","Exatas","sim",1,2602.25,2,0
"3184",1.53,56.12,23.97,"M","3º Grau","Biológicas","não",0,2476.99,3,1
"3185",1.57,57.82,23.46,"F","2º Grau","Humanas","sim",1,2979.94,1,2
"3186",1.5,54.94,24.42,"M","1º Grau","Biológicas","sim",1,2783.57,0,2
"3187",1.43,52.33,25.59,"F","1º Grau","Exatas","sim",1,2623.71,0,2
"3188",1.69,62.66,21.94,"M","Analfabeto","Humanas","não",0,3060.21,1,1
"3189",1.6,58.83,22.98,"M","Doutorado","Biológicas","sim",1,3373.18,2,1
"3190",1.61,59.23,22.85,"F","3º Grau","Biológicas","não",0,3388.67,2,2
"3191",1.39,50.4,26.09,"F","2º Grau","Biológicas","não",0,2916.91,2,0
"3192",1.45,53.14,25.27,"F","1º Grau","Biológicas","não",0,2741.95,2,1
"3193",1.3,47.04,27.83,"M","Mestrado","Biológicas","sim",1,2489.5,1,2
"3194",1.53,56.34,24.07,"F","Mestrado","Biológicas","não",0,2776.85,0,2
"3195",1.33,48.01,27.14,"F","Mestrado","Biológicas","sim",1,2390.75,2,0
"3196",1.31,47.32,27.57,"M","1º Grau","Humanas","sim",1,2745.45,3,1
"3197",1.56,57.24,23.52,"M","3º Grau","Biológicas","sim",1,2990.55,2,2
"3198",1.34,48.72,27.13,"F","3º Grau","Biológicas","não",0,2880.29,3,2
"3199",1.46,53.23,24.97,"M","Analfabeto","Biológicas","não",0,2726.62,3,0
"3200",1.54,56.47,23.81,"F","3º Grau","Humanas","não",0,3286.6,2,2
"3201",1.49,54.61,24.6,"F","1º Grau","Exatas","não",0,2419.94,0,1
"3202",1.57,57.9,23.49,"F","PósDoc","Humanas","sim",1,2970.25,3,2
"3203",1.42,51.63,25.61,"F","Doutorado","Humanas","não",0,3006.55,1,0
"3204",1.46,53.28,25,"F","PósDoc","Humanas","não",0,2790.2,2,1
"3205",1.37,49.79,26.53,"F","PósDoc","Biológicas","não",0,3592.31,3,2
"3206",1.36,49.4,26.71,"M","Analfabeto","Exatas","não",0,2793.5,0,2
"3207",1.5,54.85,24.38,"M","Analfabeto","Humanas","sim",1,3066.85,0,0
"3208",1.46,53.36,25.03,"M","1º Grau","Exatas","não",0,3112.43,0,2
"3209",1.56,57.41,23.59,"M","3º Grau","Humanas","não",0,2897.86,2,0
"3210",1.39,50.77,26.28,"F","Analfabeto","Exatas","não",0,3161.71,2,2
"3211",1.45,52.8,25.11,"F","Analfabeto","Exatas","não",0,2956.99,3,0
"3212",1.73,64.1,21.42,"M","Mestrado","Humanas","não",0,2871.07,0,1
"3213",1.53,56.33,24.06,"M","PósDoc","Biológicas","sim",1,3713.4,1,2
"3214",1.55,56.86,23.67,"F","Analfabeto","Humanas","sim",1,3082.98,3,0
"3215",1.4,50.98,26.01,"F","Analfabeto","Humanas","não",0,3193.84,2,2
"3216",1.7,62.99,21.8,"M","Analfabeto","Humanas","sim",1,3383.31,3,0
"3217",1.61,59.28,22.87,"F","PósDoc","Exatas","não",0,2262.77,2,1
"3218",1.64,60.7,22.57,"M","2º Grau","Biológicas","sim",1,3435.82,2,0
"3219",1.58,58.2,23.31,"F","3º Grau","Biológicas","não",0,2859.58,3,1
"3220",1.49,54.59,24.59,"F","Mestrado","Exatas","não",0,3040.95,3,0
"3221",1.44,52.71,25.42,"F","3º Grau","Humanas","sim",1,3596.62,2,2
"3222",1.42,51.62,25.6,"F","PósDoc","Humanas","não",0,3555.13,2,2
"3223",1.54,56.6,23.87,"F","Mestrado","Humanas","não",0,2638.96,0,1
"3224",1.44,52.47,25.3,"F","Doutorado","Exatas","não",0,2447.72,0,2
"3225",1.52,55.81,24.16,"F","3º Grau","Exatas","sim",1,3453,2,1
"3226",1.51,55.53,24.35,"M","1º Grau","Humanas","não",0,2549.89,2,0
"3227",1.54,56.79,23.95,"F","PósDoc","Exatas","não",0,2641.6,1,2
"3228",1.48,54.04,24.67,"F","1º Grau","Exatas","sim",1,2394.1,3,2
"3229",1.52,55.8,24.15,"M","Mestrado","Humanas","não",0,2949.22,3,2
"3230",1.42,51.72,25.65,"M","Mestrado","Exatas","sim",1,2954.56,2,0
"3231",1.41,51.3,25.8,"M","2º Grau","Humanas","não",0,2959.67,0,2
"3232",1.47,53.72,24.86,"F","1º Grau","Biológicas","sim",1,2960.68,1,2
"3233",1.4,51.06,26.05,"M","Mestrado","Exatas","sim",1,3188,0,1
"3234",1.52,55.87,24.18,"F","PósDoc","Exatas","não",0,2783.9,2,1
"3235",1.65,61.13,22.45,"F","Doutorado","Humanas","sim",1,2785.66,2,2
"3236",1.48,54.36,24.82,"M","3º Grau","Humanas","não",0,3247.72,2,0
"3237",1.54,56.7,23.91,"F","PósDoc","Biológicas","não",0,2244.6,1,0
"3238",1.42,51.7,25.64,"M","1º Grau","Humanas","não",0,2277.86,0,0
"3239",1.58,58.16,23.3,"M","PósDoc","Exatas","não",0,2329.04,1,1
"3240",1.49,54.76,24.67,"F","Doutorado","Humanas","não",0,2927.43,2,0
"3241",1.26,45.45,28.63,"M","2º Grau","Exatas","não",0,2959.1,3,2
"3242",1.54,56.79,23.95,"M","3º Grau","Humanas","sim",1,3613.18,3,1
"3243",1.57,57.61,23.37,"F","Mestrado","Biológicas","sim",1,2901.64,3,1
"3244",1.55,56.97,23.71,"M","3º Grau","Biológicas","sim",1,3426.53,1,2
"3245",1.5,54.91,24.4,"M","PósDoc","Humanas","não",0,3280.87,0,2
"3246",1.56,57.27,23.53,"F","Mestrado","Humanas","não",0,3537.12,2,2
"3247",1.49,54.65,24.62,"F","Analfabeto","Humanas","sim",1,2308.13,1,2
"3248",1.6,58.87,23,"M","1º Grau","Biológicas","não",0,3657.78,1,1
"3249",1.38,50.14,26.33,"M","3º Grau","Humanas","sim",1,3400.31,3,0
"3250",1.57,57.92,23.5,"F","2º Grau","Biológicas","não",0,3027,2,0
"3251",1.55,56.84,23.66,"F","Analfabeto","Humanas","sim",1,3021.26,0,0
"3252",1.57,57.83,23.46,"M","Doutorado","Exatas","sim",1,3191.75,2,0
"3253",1.48,54.06,24.68,"M","Doutorado","Biológicas","não",0,3017.42,2,1
"3254",1.53,56.4,24.09,"M","1º Grau","Biológicas","sim",1,3006.52,0,0
"3255",1.56,57.36,23.57,"F","Mestrado","Exatas","sim",1,3147.64,0,2
"3256",1.51,55.25,24.23,"F","2º Grau","Exatas","não",0,3136.57,0,1
"3257",1.37,49.64,26.45,"M","Analfabeto","Exatas","não",0,3237.48,3,1
"3258",1.55,57.06,23.75,"M","Mestrado","Exatas","não",0,3293.46,2,0
"3259",1.44,52.67,25.4,"M","2º Grau","Biológicas","não",0,2323.11,3,0
"3260",1.37,49.74,26.5,"M","3º Grau","Humanas","não",0,3435.89,2,2
"3261",1.57,57.63,23.38,"M","3º Grau","Exatas","não",0,3243.18,3,0
"3262",1.65,60.9,22.37,"M","Analfabeto","Exatas","sim",1,2804.74,1,2
"3263",1.51,55.42,24.31,"M","1º Grau","Humanas","não",0,3192.44,3,0
"3264",1.58,58.12,23.28,"M","Mestrado","Biológicas","não",0,2865.31,3,2
"3265",1.46,53.29,25,"F","Analfabeto","Exatas","não",0,2630.11,0,0
"3266",1.47,53.98,24.98,"M","1º Grau","Biológicas","sim",1,3031.35,2,1
"3267",1.61,59.54,22.97,"F","1º Grau","Exatas","não",0,2466.5,1,1
"3268",1.47,53.74,24.87,"M","Analfabeto","Humanas","sim",1,3012.62,0,1
"3269",1.57,57.76,23.43,"F","2º Grau","Humanas","não",0,3723.37,1,0
"3270",1.44,52.65,25.39,"M","Mestrado","Biológicas","não",0,3263.68,2,1
"3271",1.52,55.83,24.16,"F","PósDoc","Exatas","não",0,2707.41,3,1
"3272",1.73,64.28,21.48,"F","3º Grau","Humanas","não",0,2898.01,1,0
"3273",1.6,59.12,23.09,"M","Doutorado","Biológicas","sim",1,2357.06,3,1
"3274",1.7,62.98,21.79,"M","1º Grau","Exatas","sim",1,2844.93,2,0
"3275",1.66,61.56,22.34,"M","PósDoc","Humanas","sim",1,3677.53,0,0
"3276",1.56,57.6,23.67,"F","3º Grau","Biológicas","não",0,2956.66,0,2
"3277",1.39,50.42,26.1,"M","Analfabeto","Humanas","sim",1,2954.89,2,1
"3278",1.55,57.05,23.75,"F","1º Grau","Biológicas","sim",1,3203.35,1,0
"3279",1.5,55.15,24.51,"F","2º Grau","Biológicas","não",0,3311.49,1,1
"3280",1.41,51.4,25.85,"M","1º Grau","Biológicas","não",0,3303.52,3,2
"3281",1.32,47.72,27.39,"F","1º Grau","Humanas","não",0,2944.1,0,1
"3282",1.34,48.47,26.99,"M","2º Grau","Biológicas","não",0,2991.99,2,1
"3283",1.47,53.99,24.98,"M","2º Grau","Humanas","sim",1,2636.41,1,2
"3284",1.59,58.58,23.17,"F","Analfabeto","Exatas","não",0,2686.95,0,1
"3285",1.28,46.15,28.17,"M","Doutorado","Exatas","não",0,2874.81,3,1
"3286",1.62,59.68,22.74,"F","1º Grau","Exatas","não",0,2452.31,0,1
"3287",1.32,47.72,27.39,"F","3º Grau","Biológicas","não",0,2150.14,0,2
"3288",1.47,53.66,24.83,"F","Mestrado","Biológicas","não",0,3047.19,3,1
"3289",1.62,59.62,22.72,"M","Doutorado","Exatas","sim",1,2219.59,3,1
"3290",1.58,58.01,23.24,"M","Doutorado","Biológicas","não",0,2260.07,3,0
"3291",1.53,56.02,23.93,"M","Doutorado","Humanas","sim",1,3519.5,0,2
"3292",1.5,54.94,24.42,"M","2º Grau","Humanas","sim",1,2731.79,2,1
"3293",1.54,56.58,23.86,"F","3º Grau","Exatas","sim",1,3021.34,1,2
"3294",1.46,53.44,25.07,"M","Doutorado","Biológicas","sim",1,2421.45,2,1
"3295",1.49,54.78,24.67,"F","2º Grau","Exatas","sim",1,3215.76,1,1
"3296",1.5,55.03,24.46,"F","Analfabeto","Humanas","não",0,3187.3,3,0
"3297",1.66,61.29,22.24,"F","2º Grau","Exatas","não",0,3475.45,2,2
"3298",1.62,59.77,22.77,"M","Doutorado","Exatas","sim",1,3347.31,1,2
"3299",1.6,58.94,23.02,"M","Doutorado","Exatas","não",0,3018.24,2,0
"3300",1.54,56.79,23.95,"M","Doutorado","Exatas","não",0,3628.77,0,2
"3301",1.55,57.05,23.75,"F","Doutorado","Humanas","não",0,2490.95,2,0
"3302",1.59,58.51,23.14,"F","Analfabeto","Biológicas","não",0,2627.64,0,2
"3303",1.55,56.93,23.7,"M","1º Grau","Exatas","não",0,2757.56,3,0
"3304",1.46,53.41,25.06,"M","2º Grau","Humanas","sim",1,3628.67,1,1
"3305",1.6,58.86,22.99,"F","2º Grau","Biológicas","não",0,3041.61,1,1
"3306",1.56,57.23,23.52,"M","Analfabeto","Humanas","não",0,3475.9,0,1
"3307",1.45,53.06,25.24,"M","Analfabeto","Exatas","não",0,3286.42,3,0
"3308",1.46,53.51,25.1,"M","Doutorado","Biológicas","sim",1,3308.01,2,1
"3309",1.41,51.27,25.79,"F","PósDoc","Exatas","não",0,3126.09,2,1
"3310",1.35,48.92,26.84,"F","Mestrado","Exatas","não",0,2657.78,2,1
"3311",1.47,53.7,24.85,"F","Mestrado","Biológicas","não",0,2351.99,3,0
"3312",1.59,58.48,23.13,"M","2º Grau","Biológicas","sim",1,2784.79,1,2
"3313",1.65,60.96,22.39,"M","PósDoc","Humanas","não",0,2709.62,3,2
"3314",1.56,57.45,23.61,"M","1º Grau","Biológicas","não",0,3737.98,1,1
"3315",1.59,58.48,23.13,"F","Mestrado","Exatas","não",0,2825.61,2,1
"3316",1.42,51.99,25.78,"M","Analfabeto","Humanas","não",0,2897.17,3,1
"3317",1.35,49.02,26.9,"M","Analfabeto","Biológicas","não",0,2859.32,1,2
"3318",1.45,53.16,25.28,"F","PósDoc","Humanas","não",0,3259.82,0,1
"3319",1.52,55.63,24.08,"M","1º Grau","Biológicas","não",0,1970.88,3,2
"3320",1.46,53.37,25.04,"F","3º Grau","Humanas","sim",1,3042.89,1,1
"3321",1.6,59.14,23.1,"F","1º Grau","Exatas","sim",1,2599.43,1,1
"3322",1.54,56.64,23.88,"F","3º Grau","Humanas","sim",1,3239.09,2,1
"3323",1.44,52.52,25.33,"M","3º Grau","Exatas","sim",1,3165.38,1,0
"3324",1.64,60.79,22.6,"M","2º Grau","Exatas","não",0,2624.49,1,2
"3325",1.43,52.31,25.58,"M","1º Grau","Humanas","não",0,3410.43,1,2
"3326",1.38,50.12,26.32,"F","Mestrado","Biológicas","não",0,2997.6,3,1
"3327",1.52,55.95,24.22,"M","Mestrado","Biológicas","não",0,3559.82,0,1
"3328",1.54,56.76,23.93,"F","PósDoc","Biológicas","não",0,3138.57,0,1
"3329",1.33,48.23,27.27,"F","Analfabeto","Humanas","não",0,2457.15,2,1
"3330",1.49,54.73,24.65,"F","Analfabeto","Biológicas","não",0,3204.28,2,0
"3331",1.32,47.87,27.47,"F","3º Grau","Exatas","não",0,2541.84,0,1
"3332",1.52,55.62,24.07,"M","Mestrado","Humanas","sim",1,3325.31,0,0
"3333",1.48,54.18,24.74,"M","3º Grau","Humanas","não",0,3042.19,2,2
"3334",1.44,52.76,25.44,"M","Doutorado","Exatas","sim",1,2831,3,1
"3335",1.39,50.74,26.26,"F","Mestrado","Biológicas","sim",1,2966,3,2
"3336",1.48,54.36,24.82,"F","3º Grau","Biológicas","sim",1,3781.41,1,2
"3337",1.4,50.83,25.93,"M","3º Grau","Exatas","não",0,2970.48,1,0
"3338",1.65,61.13,22.45,"F","Analfabeto","Biológicas","sim",1,3470.94,3,2
"3339",1.57,57.76,23.43,"M","Analfabeto","Humanas","não",0,2549.52,2,1
"3340",1.68,62.14,22.02,"M","PósDoc","Exatas","não",0,2811.98,2,2
"3341",1.54,56.65,23.89,"M","Analfabeto","Humanas","não",0,3304.76,1,2
"3342",1.58,58.18,23.31,"M","1º Grau","Humanas","sim",1,3256.45,3,0
"3343",1.77,65.81,21.01,"M","Doutorado","Humanas","sim",1,2828.07,2,0
"3344",1.33,48.23,27.27,"F","Analfabeto","Humanas","não",0,3243.98,2,0
"3345",1.29,46.62,28.02,"M","2º Grau","Exatas","não",0,3752.7,1,1
"3346",1.4,50.82,25.93,"M","2º Grau","Exatas","não",0,3201.82,0,2
"3347",1.6,59.05,23.07,"F","Doutorado","Biológicas","sim",1,2802.37,2,0
"3348",1.36,49.37,26.69,"M","2º Grau","Exatas","sim",1,3008.17,1,0
"3349",1.67,61.72,22.13,"M","PósDoc","Biológicas","sim",1,2015.29,2,1
"3350",1.63,60.33,22.71,"M","Analfabeto","Biológicas","não",0,3087.21,2,1
"3351",1.74,64.41,21.27,"M","Doutorado","Biológicas","não",0,2745.96,0,1
"3352",1.3,46.81,27.7,"F","3º Grau","Biológicas","não",0,2946.72,1,0
"3353",1.41,51.39,25.85,"F","Analfabeto","Biológicas","não",0,3103.87,0,0
"3354",1.58,58.27,23.34,"M","Analfabeto","Biológicas","sim",1,3140.19,2,2
"3355",1.49,54.59,24.59,"F","Doutorado","Humanas","não",0,3119.39,1,1
"3356",1.59,58.56,23.16,"F","3º Grau","Humanas","sim",1,2588.02,0,1
"3357",1.39,50.63,26.2,"M","Doutorado","Exatas","não",0,2838.41,3,1
"3358",1.55,56.86,23.67,"M","1º Grau","Exatas","não",0,2526.71,1,0
"3359",1.51,55.53,24.35,"M","Mestrado","Biológicas","sim",1,2624.75,1,2
"3360",1.51,55.48,24.33,"F","Doutorado","Exatas","sim",1,2620.47,0,0
"3361",1.63,60.09,22.62,"M","1º Grau","Humanas","não",0,2828.85,0,0
"3362",1.45,52.89,25.16,"M","Analfabeto","Biológicas","sim",1,2347.02,1,2
"3363",1.54,56.41,23.79,"M","Mestrado","Biológicas","não",0,3372.64,2,1
"3364",1.37,49.92,26.6,"F","Doutorado","Exatas","não",0,3022.68,3,2
"3365",1.48,54.37,24.82,"M","Doutorado","Exatas","sim",1,3413.36,0,2
"3366",1.33,48.34,27.33,"M","Mestrado","Exatas","sim",1,2785.58,0,1
"3367",1.43,52.35,25.6,"F","Analfabeto","Humanas","não",0,2398.75,3,1
"3368",1.51,55.33,24.27,"M","1º Grau","Exatas","não",0,3322.3,2,0
"3369",1.59,58.74,23.23,"F","1º Grau","Exatas","não",0,2850.66,3,0
"3370",1.47,53.8,24.9,"F","1º Grau","Exatas","não",0,2810.57,3,0
"3371",1.51,55.23,24.22,"M","2º Grau","Humanas","sim",1,3220.06,3,1
"3372",1.61,59.31,22.88,"M","3º Grau","Biológicas","não",0,3311.37,1,2
"3373",1.34,48.65,27.09,"M","Mestrado","Exatas","não",0,2958.09,0,2
"3374",1.5,54.94,24.42,"M","1º Grau","Humanas","sim",1,3228.76,0,0
"3375",1.5,54.88,24.39,"F","PósDoc","Exatas","não",0,3206.81,0,2
"3376",1.61,59.45,22.94,"M","PósDoc","Biológicas","não",0,3032.62,1,1
"3377",1.5,54.83,24.37,"F","2º Grau","Biológicas","sim",1,2575.77,3,2
"3378",1.41,51.48,25.89,"F","3º Grau","Biológicas","não",0,2990.71,1,1
"3379",1.31,47.44,27.64,"M","Doutorado","Biológicas","não",0,2987.52,2,0
"3380",1.44,52.44,25.29,"M","2º Grau","Exatas","não",0,2480.07,2,0
"3381",1.62,59.73,22.76,"F","3º Grau","Biológicas","não",0,2412.19,3,2
"3382",1.7,62.83,21.74,"F","1º Grau","Biológicas","não",0,2795.73,3,1
"3383",1.64,60.68,22.56,"M","1º Grau","Exatas","sim",1,2575.37,1,0
"3384",1.42,51.65,25.61,"M","Doutorado","Biológicas","sim",1,2955.23,2,1
"3385",1.5,55.12,24.5,"F","3º Grau","Humanas","não",0,2932.83,3,2
"3386",1.6,58.98,23.04,"F","Analfabeto","Exatas","sim",1,2901.42,2,2
"3387",1.46,53.25,24.98,"F","Mestrado","Humanas","não",0,2764.88,0,2
"3388",1.41,51.33,25.82,"F","Analfabeto","Exatas","sim",1,3013.5,2,2
"3389",1.49,54.76,24.67,"F","1º Grau","Exatas","não",0,3306.29,0,1
"3390",1.41,51.22,25.76,"M","Mestrado","Biológicas","sim",1,3323.58,1,2
"3391",1.34,48.4,26.95,"F","Analfabeto","Humanas","não",0,3206.63,2,2
"3392",1.41,51.47,25.89,"M","Mestrado","Biológicas","não",0,2775.26,1,2
"3393",1.65,60.86,22.35,"M","PósDoc","Biológicas","não",0,3245.97,1,0
"3394",1.58,58.21,23.32,"F","1º Grau","Humanas","não",0,3078.25,1,1
"3395",1.53,56.2,24.01,"M","Mestrado","Biológicas","sim",1,2962.47,1,2
"3396",1.48,54.33,24.8,"M","Analfabeto","Exatas","sim",1,2753.67,1,2
"3397",1.45,53.12,25.27,"M","Doutorado","Exatas","não",0,1877.11,1,2
"3398",1.49,54.55,24.57,"F","2º Grau","Biológicas","não",0,3223.8,2,0
"3399",1.53,56.01,23.93,"M","2º Grau","Humanas","não",0,3094.14,0,2
"3400",1.68,62.34,22.09,"F","Mestrado","Exatas","sim",1,2969.44,1,1
